scenario,experiment,run,period,inflation,inflation_target,unemployment_rate,mean_indexation_strategy,mean_substitution_strategy,var_indexation_strategy,var_substitution_strategy
1,1,10,650,0.009081934140262527,0.02,0.9543014866806382,0.7438134779231727,0.7020790351186572,0.026755462889889642,0.11899066862807454
1,1,10,700,0.006299165536699938,0.02,0.9723521221826207,0.5583626954907318,0.5140243800369826,0.021780616142363637,0.07351431068162356
1,1,10,750,0.008491911250784679,0.02,0.9832728661770082,0.6096633485445802,0.4606548132343021,0.03161176617234866,0.06578931311459801
1,1,10,800,0.007469111621470809,0.02,0.9898799825512684,0.4809460389690813,-0.1299525708659476,0.017153013981068745,0.06612275736505244
1,1,11,100,0.020511998684506226,0.02,0.0,1.0252690906787136,0.5432901852994736,0.0430975964919752,0.09896066983245237
1,1,11,150,0.02071814794095367,0.02,0.0,1.033301692708553,0.5848606217111787,0.035083353623238465,0.09602215378491324
1,1,11,200,0.02053701709254098,0.02,0.0,1.0219169026083676,0.5651494001680152,0.03347108566878989,0.12386019849093875
1,1,11,250,0.02133696938271518,0.02,0.0,1.0690295755330879,0.5808519147940179,0.02678439197713571,0.11940673425918043
1,1,11,300,0.020753003907314577,0.02,0.0,1.0319906960228171,0.6326269812551866,0.03127241025095234,0.10540881931930275
1,1,11,350,0.02060586578091996,0.02,0.0,1.0198587190168529,0.6668044477813585,0.030699047264258664,0.10564763647573522
1,1,11,400,0.020828521769705215,0.02,0.0,1.0315834105571988,0.6298032525129829,0.028804012183375298,0.11543623707485941
1,1,11,450,0.03120277399516128,0.02,0.0,1.0585740434572757,0.6824725650184463,0.03378550909653979,0.11906671166633437
1,1,11,500,0.014361272714973302,0.02,0.1959499808276487,1.0823295319586654,0.7162075816975989,0.03166049412928218,0.10400134085999162
1,1,11,550,0.014886160737646875,0.02,0.5135448601186747,1.0525999110296882,0.6993484848842232,0.02784981003082363,0.11498604684413784
1,1,11,600,0.01314499967181147,0.02,0.7056916889815593,0.9577406920102967,0.6357604551928302,0.030287840286442463,0.10826771136439488
1,1,11,650,0.01371948079529461,0.02,0.8219416862248423,0.9279259931829559,0.502078628436468,0.02989176504176153,0.10677857722862054
1,1,11,700,0.013639851630852054,0.02,0.8922736398617505,0.9104383756647324,0.4578349065354734,0.024434496640259783,0.10224944713140174
1,1,11,750,0.013068005766089132,0.02,0.9348248985257157,0.9217399214250765,0.38873697731422485,0.028441979652621394,0.0857976558051447
1,1,11,800,0.01582460200971444,0.02,0.9605686681817535,0.9833769255220985,0.25338888855805947,0.022260277196462598,0.11031754419034387
1,1,12,100,0.019917492868152545,0.02,0.0,0.9823127319156887,0.5175927884924566,0.03634528191408129,0.11911215374932412
1,1,12,150,0.02041182268263123,0.02,0.0,1.0164207056197063,0.44034505254180367,0.033176900406991776,0.10693548163561586
1,1,12,200,0.02126833329500251,0.02,0.0,1.0597300114424524,0.43707475865062667,0.028785120064014742,0.11643557366522836
1,1,12,250,0.021825189822691615,0.02,0.0,1.0881646374442593,0.341703350252079,0.026189000265245562,0.10436733635463791
1,1,12,300,0.02351059249245359,0.02,0.0,1.173836461141771,0.3445104559803725,0.0323971568737977,0.10664439859536289
1,1,12,350,0.0122931138745356,0.02,0.010530914273773078,1.1901007452053947,0.4000355335519053,0.03891023104854244,0.12238871038848316
1,1,12,400,0.027812128437082542,0.02,0.0,1.1981268323577845,0.34662379909371216,0.04410076822933675,0.12318343022605525
1,1,12,450,0.031999693192043946,0.02,0.0,1.2185562347739474,0.27584747149204925,0.03015937812140949,0.09208127484780171
1,1,12,500,0.03569289268072453,0.02,0.0,1.2001107444523522,0.22287054982311888,0.028028093746126675,0.09833317351852063
1,1,12,550,0.03709424632590994,0.02,0.0005864180620261549,1.167269766986528,0.23318257933341827,0.02706526375830023,0.0925654544264092
1,1,12,600,0.01796740465658858,0.02,0.0030819560735124013,1.1419571813667575,0.32638186577352685,0.026312751703204573,0.0970310696211852
1,1,12,650,0.022476028206878166,0.02,0.0,1.1199158893977577,0.35558194608130805,0.030871808784134105,0.13251659137264002
1,1,12,700,0.01019106116116809,0.02,0.008054353563762901,1.1563718940533698,0.30417790371170256,0.03948420320174538,0.11042708744250489
1,1,12,750,0.022875754641619447,0.02,0.0,1.0967777528600113,0.36266152144630115,0.02654840981963478,0.08972304974000035
